Player,Pos,year,sportsref_predicted_url
Jaquan Brisker,S,2022,https://www.sports-reference.com/cfb/players/jaquan-brisker-1.html
Jaylen Watson,CB,2022,https://www.sports-reference.com/cfb/players/jaylen-watson-1.html
Kaiir Elam,CB,2022,https://www.sports-reference.com/cfb/players/kaiir-elam-1.html
Kerby Joseph,S,2022,https://www.sports-reference.com/cfb/players/kerby-joseph-1.html
Kyle Hamilton,S,2022,https://www.sports-reference.com/cfb/players/kyle-hamilton-1.html
Kyler Gordon,CB,2022,https://www.sports-reference.com/cfb/players/kyler-gordon-1.html
Lewis Cine,S,2022,https://www.sports-reference.com/cfb/players/lewis-cine-1.html
Marcus Jones,CB,2022,https://www.sports-reference.com/cfb/players/marcus-jones-1.html
Martin Emerson,CB,2022,https://www.sports-reference.com/cfb/players/martin-emerson-1.html
Montaric Brown,CB,2022,https://www.sports-reference.com/cfb/players/montaric-brown-1.html
Nick Cross,S,2022,https://www.sports-reference.com/cfb/players/nick-cross-1.html
Percy Butler,S,2022,https://www.sports-reference.com/cfb/players/percy-butler-1.html
Quentin Lake,S,2022,https://www.sports-reference.com/cfb/players/quentin-lake-1.html
Roger McCreary,CB,2022,https://www.sports-reference.com/cfb/players/roger-mccreary-1.html
Tariq Castro-Fields,CB,2022,https://www.sports-reference.com/cfb/players/tariq-castro-fields-1.html
Trent McDuffie,CB,2022,https://www.sports-reference.com/cfb/players/trent-mcduffie-1.html
Tycen Anderson,S,2022,https://www.sports-reference.com/cfb/players/tycen-anderson-1.html
Zyon McCollum,CB,2022,https://www.sports-reference.com/cfb/players/zyon-mccollum-1.html
Alex Austin,CB,2023,https://www.sports-reference.com/cfb/players/alex-austin-1.html
Antonio Johnson,DB,2023,https://www.sports-reference.com/cfb/players/antonio-johnson-1.html
Brian Branch,CB,2023,https://www.sports-reference.com/cfb/players/brian-branch-1.html
Cam Smith,CB,2023,https://www.sports-reference.com/cfb/players/cam-smith-1.html
