assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,expected_draft_year_source,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
,,SR,,ACC,2011,currentPlayer,2010,,,,,10,1,53,4,https://www.sports-reference.com/cfb/players/danorris-searcy-1.html,0,Da'Norris Searcy,DB,,North Carolina,2026-04-02T07:39:17.076Z,,season_totals,
,,SR,,Pac-10,2011,currentPlayer,2010,,,,,13,0,39,4,https://www.sports-reference.com/cfb/players/richard-sherman-1.html,0,Richard Sherman,WR/DB,,Stanford,2026-04-02T07:39:22.039Z,,season_totals,
,,SR,,Big 12,2011,currentPlayer,2010,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/jimmy-smith-1.html,5,Jimmy Smith,DB,,Colorado,2026-04-02T07:39:34.864Z,,season_totals,
,,SR,,MAC,2011,currentPlayer,2010,,,,,12,0,22,1,https://www.sports-reference.com/cfb/players/josh-thomas-3.html,0,Josh Thomas,DB,,Buffalo,2026-04-02T07:39:49.970Z,,season_totals,
,,SR,,WAC,2011,currentPlayer,2010,,,,,13,0,20,3,https://www.sports-reference.com/cfb/players/brandyn-thompson-1.html,0,Brandyn Thompson,DB,,Boise State,2026-04-02T07:39:54.910Z,,season_totals,
,,JR,,Big 12,2011,currentPlayer,2010,,,,,11,0,0,0,https://www.sports-reference.com/cfb/players/aaron-williams-2.html,0,Aaron Williams,DB,,Texas,2026-04-02T07:40:05.051Z,,season_totals,
,,SR,,Pac-10,2011,currentPlayer,2010,,,,,8,0,0,0,https://www.sports-reference.com/cfb/players/shareece-wright-1.html,6,Shareece Wright,DB,,USC,2026-04-02T07:40:09.949Z,,season_totals,
,,SR,,SEC,2012,currentPlayer,2011,,,,,12,1,44,3,https://www.sports-reference.com/cfb/players/antonio-allen-1.html,0,Antonio Allen,LB/DB,,South Carolina,2026-04-02T07:40:15.027Z,,season_totals,
,AA,SR,,SEC,2012,currentPlayer,2011,,,,,13,0,14,2,https://www.sports-reference.com/cfb/players/mark-barron-1.html,5,Mark Barron,DB,,Alabama,2026-04-02T07:40:19.931Z,,season_totals,
,,SR,,Ind,2012,currentPlayer,2011,,,,,13,0,82,2,https://www.sports-reference.com/cfb/players/robert-blanton-1.html,5,Robert Blanton,DB,,Notre Dame,2026-04-02T07:40:40.634Z,,season_totals,
,,SR,,SEC,2012,currentPlayer,2011,,,,,14,0,-1,3,https://www.sports-reference.com/cfb/players/brandon-boykin-1.html,0,Brandon Boykin,DB,,Georgia,2026-04-02T07:40:58.218Z,,season_totals,
,,SR,,SEC,2012,currentPlayer,2011,,,,,14,2,74,2,https://www.sports-reference.com/cfb/players/ron-brooks-1.html,6,Ron Brooks,DB,,LSU,2026-04-02T07:41:03.405Z,,season_totals,
,AA,JR,,SEC,2012,currentPlayer,2011,,,,,14,1,173,6,https://www.sports-reference.com/cfb/players/morris-claiborne-1.html,6,Morris Claiborne,DB,,LSU,2026-04-02T07:41:08.326Z,,season_totals,
,,SR,,Big Ten,2012,currentPlayer,2011,,,,,10,0,0,0,https://www.sports-reference.com/cfb/players/alfonzo-dennard-1.html,6,Alfonzo Dennard,DB,,Nebraska,2026-04-02T07:41:13.377Z,,season_totals,
,,SR,,Big 12,2012,currentPlayer,2011,,,,,11,0,23,2,https://www.sports-reference.com/cfb/players/jamell-fleming-1.html,0,Jamell Fleming,DB,,Oklahoma,2026-04-02T07:41:18.278Z,,season_totals,
,,SR,,Big 12,2012,currentPlayer,2011,,,,,13,0,57,1,https://www.sports-reference.com/cfb/players/terrence-frederick-1.html,0,Terrence Frederick,DB,,Texas A&M,2026-04-02T07:41:23.315Z,,season_totals,
,,JR,,SEC,2012,currentPlayer,2011,,,,,13,0,-10,4,https://www.sports-reference.com/cfb/players/stephon-gilmore-1.html,0,Stephon Gilmore,DB,,South Carolina,2026-04-02T07:41:28.419Z,,season_totals,
,,SR,,SEC,2012,currentPlayer,2011,,,,,12,0,0,2,https://www.sports-reference.com/cfb/players/winston-guy-1.html,2,Winston Guy,DB,,Kentucky,2026-04-02T07:41:33.283Z,,season_totals,
,,SR,,ACC,2012,currentPlayer,2011,,,,,13,0,89,1,https://www.sports-reference.com/cfb/players/mike-harris-1.html,0,Mike Harris,DB,,Florida State,2026-04-02T07:41:38.296Z,,season_totals,
,,SR,,SEC,2012,currentPlayer,2011,,,,,13,1,107,7,https://www.sports-reference.com/cfb/players/casey-hayward-1.html,0,Casey Hayward,DB,,Vanderbilt,2026-04-02T07:41:43.311Z,,season_totals,
,,JR,,ACC,2012,currentPlayer,2011,,,,,13,0,56,3,https://www.sports-reference.com/cfb/players/jayron-hosley-1.html,0,Jayron Hosley,DB,,Virginia Tech,2026-04-02T07:41:48.358Z,,season_totals,
,,SR,,MWC,2012,currentPlayer,2011,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/george-iloka-1.html,1,George Iloka,DB,,Boise State,2026-04-02T07:41:53.301Z,,season_totals,
,,JR,,SEC,2012,currentPlayer,2011,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/dre-kirkpatrick-1.html,9,Dre Kirkpatrick,DB,,Alabama,2026-04-02T07:42:26.712Z,,season_totals,
,,SR,,SEC,2012,currentPlayer,2011,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/charles-mitchell-1.html,3,Charles Mitchell,DB,,Mississippi State,2026-04-02T07:42:40.900Z,,season_totals,
