assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
33,"Nagurski,AA",SR,73,ACC,2017,3,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/bradley-chubb-1.html,2,Bradley Chubb,DE,10.0,North Carolina State,2026-04-01T15:36:15.130Z,40,season_totals,26.0
16,,SR,60,Big Ten,2008,1,0,0,0,13,0,5,3,https://www.sports-reference.com/cfb/players/bradley-fletcher-1.html,0,Bradley Fletcher,DB,0.0,Iowa,2026-04-01T15:36:22.087Z,44,season_totals,0.5
14,,JR,68,Big Ten,2013,0,0,0,0,12,1,120,3,https://www.sports-reference.com/cfb/players/bradley-roby-1.html,13,Bradley Roby,DB/CB,0.0,Ohio State,2026-04-01T15:36:29.242Z,54,season_totals,2.0
19,,JR,62,Pac-12,2019,1,4,2,45,14,1,32,2,https://www.sports-reference.com/cfb/players/brady-breeze-1.html,3,Brady Breeze,DB/S,0.0,Oregon,2026-04-01T15:36:36.127Z,43,season_totals,0.0
28,,SR,58,SEC,2024,2,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bradyn-swinson-1.html,3,Bradyn Swinson,DE,8.5,LSU,2026-04-01T15:36:50.164Z,30,season_totals,13.0
20,,SR,55,SEC,2011,2,0,0,0,14,0,-1,3,https://www.sports-reference.com/cfb/players/brandon-boykin-1.html,0,Brandon Boykin,DB,0.0,Georgia,2026-04-01T15:36:57.160Z,35,season_totals,11.0
17,,JR,51,MWC,2010,1,0,0,0,13,0,69,2,https://www.sports-reference.com/cfb/players/brandon-burton-1.html,0,Brandon Burton,DB,0.0,Utah,2026-04-01T15:37:04.190Z,34,season_totals,1.0
13,,SR,23,SEC,2009,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/brandon-deaderick-1.html,0,Brandon Deaderick,DL,1.0,Alabama,2026-04-01T15:37:16.419Z,10,season_totals,4.5
11,,SR,25,Pac-12,2023,0,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/brandon-dorlus-1.html,9,Brandon Dorlus,DT/DE,5.0,Oregon,2026-04-01T15:37:28.945Z,14,season_totals,6.5
30,,JR,86,ACC,2007,0,0,0,0,14,1,93,5,https://www.sports-reference.com/cfb/players/brandon-flowers-1.html,0,Brandon Flowers,DB,0.0,Virginia Tech,2026-04-01T15:37:35.963Z,56,season_totals,8.0
21,,SR,56,ACC,2009,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-ghee-1.html,8,Brandon Ghee,DB,0.0,Wake Forest,2026-04-01T15:37:42.935Z,35,season_totals,2.5
22,,SR,64,Big Ten,2009,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-graham-1.html,0,Brandon Graham,LB/DL,10.5,Michigan,2026-04-01T15:37:49.890Z,42,season_totals,26.0
1,,SR,1,Big Ten,2012,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/brandon-green-1.html,0,Brandon Green,WR,0.0,Minnesota,2026-04-01T15:37:56.885Z,0,season_totals,0.0
15,,JR,45,ACC,2010,2,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/brandon-harris-1.html,0,Brandon Harris,DB,0.0,Miami (FL),2026-04-01T15:38:03.883Z,30,season_totals,2.0
27,,SR,69,Big Ten,2008,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-harrison-1.html,0,Brandon Harrison,DB,3.0,Michigan,2026-04-01T15:38:11.067Z,42,season_totals,7.0
12,,SR,37,Big East,2010,1,0,0,0,11,0,78,3,https://www.sports-reference.com/cfb/players/brandon-hogan-1.html,0,Brandon Hogan,WR/DB,0.0,West Virginia,2026-04-01T15:38:18.085Z,25,season_totals,0.0
